iter	Passed	Remaining
0	81	8046
1	173	8519
2	282	9149
3	387	9295
4	476	9044
5	567	8890
6	641	8520
7	728	8379
8	805	8143
9	884	7963
10	965	7813
11	1040	7628
12	1131	7572
13	1246	7659
14	1365	7739
15	1474	7738
16	1562	7629
17	1638	7464
18	1712	7301
19	1781	7125
20	1842	6930
21	1902	6746
22	1967	6587
23	2026	6416
24	2084	6252
25	2139	6089
26	2196	5938
27	2257	5804
28	2328	5699
29	2383	5561
30	2436	5422
31	2493	5299
32	2549	5175
33	2610	5068
34	2665	4949
35	2723	4841
36	2776	4727
37	2842	4638
38	2904	4542
39	2964	4446
40	3021	4347
41	3075	4247
42	3130	4150
43	3190	4060
44	3256	3979
45	3322	3900
46	3396	3829
47	3469	3758
48	3524	3667
49	3586	3586
50	3642	3499
51	3702	3418
52	3760	3334
53	3818	3252
54	3878	3173
55	3960	3111
56	4017	3031
57	4080	2955
58	4140	2877
59	4195	2797
60	4266	2728
61	4335	2657
62	4392	2579
63	4464	2511
64	4528	2438
65	4582	2360
66	4641	2285
67	4702	2212
68	4762	2139
69	4819	2065
70	4876	1991
71	4934	1919
72	4997	1848
73	5059	1777
74	5126	1708
75	5211	1645
76	5281	1577
77	5347	1508
78	5413	1439
79	5477	1369
80	5534	1298
81	5590	1227
82	5650	1157
83	5704	1086
84	5767	1017
85	5824	948
86	5882	879
87	5938	809
88	5991	740
89	6044	671
90	6097	603
91	6152	535
92	6213	467
93	6273	400
94	6331	333
95	6406	266
96	6463	199
97	6520	133
98	6580	66
99	6636	0
